"id","Наименование одежды","Краткое описание","Цена (рубли)","Материалы","Сезонность","Цвет","Стиль"
122,"Классический костюм мужской","Двухкомпонентный мужской костюм из шерсти, разработанный для официальных мероприятий и делового стиля. Строгий крой и высококачественная ткань подчеркивают элегантность и уверенность.",18000,"Шерсть","Всесезонные","Темно-серый","деловой"
123,"Пончо","Теплое пончо с этническим узором из вискозы, созданное для осенних дней. Свободный крой и оригинальный дизайн придают образу экзотичность и комфорт.",3900,"Вискоза","Осень","Оранжевое","повседневный"
124,"Легкий кардиган","Мягкий легкий кардиган из акрила, идеально подходящий для межсезонья. Универсальный дизайн и нежная текстура делают его отличным вариантом для офисного или повседневного стиля.",2600,"Акрил","Всесезонные","Светло-серый","повседневный"
125,"Бомбер женский","Стильный женский бомбер из нейлона с современным кроем, созданный для создания модного повседневного образа. Легкий, функциональный и яркий – идеальный выбор для активного дня.",4800,"Нейлон","Всесезонные","Мятный","повседневный"
126,"Пальто шерстяное","Длинное шерстяное пальто, предназначенное для суровых зимних дней. Изготовлено из натуральной шерсти, обеспечивает тепло и элегантность, добавляя утонченность образу.",13000,"Шерсть","Зима","Темно-коричневое","повседневный"
127,"Футболка с принтом","Яркая футболка с оригинальным графическим принтом из хлопка, созданная для создания кэжуал-образа. Легкая, удобная и стильная, идеально подходит для теплых летних дней.",1500,"Хлопок","Лето","Многоцветное","повседневный"
128,"Спортивный топ","Легкий спортивный топ из синтетики, предназначенный для активных тренировок. Обеспечивает отличную вентиляцию и свободу движений, создавая динамичный образ.",1200,"Синтетика","Лето","Черное","спортивный"
129,"Брюки-спорт","Удобные спортивные брюки из полиэстера, созданные для занятий йогой и фитнесом. Эластичный крой и современный дизайн обеспечивают комфорт при любых движениях.",2000,"Полиэстер","Всесезонные","Синие","спортивный"
130,"Джинсовая куртка","Классическая джинсовая куртка из денима, разработанная для создания непринужденного повседневного образа. Прочная, универсальная и стильная – отличный выбор для межсезонья.",5500,"Деним","Всесезонные","Светло-голубая","повседневный"
131,"Платье принсесса","Романтичное платье-принцесса из шелка с пышной юбкой, создающее утонченный и женственный образ для особых случаев. Идеально подходит для праздников и торжественных мероприятий.",7200,"Шелк","Вечернее","Розовое","вечерний"
132,"Мужские шорты спортивные","Легкие спортивные мужские шорты из синтетики, созданные для активного отдыха и тренировок. Обеспечивают свободу движений и комфорт, идеально подходящие для летних занятий спортом.",2300,"Синтетика","Лето","Черные","спортивный"
133,"Свитшот с капюшоном","Удобный мужской свитшот с капюшоном из хлопка, обеспечивающий тепло и стильный повседневный образ. Свободный крой и практичные карманы делают его функциональным выбором для прохладных дней.",2900,"Хлопок","Всесезонные","Темно-зеленый","повседневный"
134,"Пиджак двубортный женский","Элегантный женский двубортный пиджак из шерсти, разработанный для офисного стиля. Строгий крой, утонченная отделка и классический силуэт подчеркивают женственность и статус.",6800,"Шерсть","Всесезонные","Темно-синий","деловой"
135,"Брюки-слимы","Облегающие брюки-слимы из эластана, создающие современный и стильный образ. Идеально подходят для офисного стиля, подчеркивая стройность фигуры и комфорт.",3500,"Эластан","Всесезонные","Черные","деловой"
136,"Юбка-слим","Узкая юбка-слим из полиэстера, выполненная для создания утонченного образа в офисе или на вечерних выходах. Лаконичный дизайн и элегантная линия талии делают её идеальным выбором.",3100,"Полиэстер","Всесезонные","Бордовый","деловой, вечерний"
137,"Кеды повседневные","Легкие повседневные кеды из текстиля, созданные для городской носки. Обладают удобной амортизацией и стильным дизайном, что делает их незаменимой обувью для активного образа жизни.",2700,"Текстиль","Всесезонные","Белые","повседневный"
138,"Сандалии на платформе","Стильные сандалии на платформе из кожи, разработанные для создания эффектного летнего образа. Яркий дизайн, удобная посадка и оригинальный силуэт делают их идеальными для вечеринок и прогулок.",3200,"Кожа","Лето","Золотые","вечерний"
139,"Детское платье с рюшами","Яркое детское платье с декоративными рюшами из хлопка, созданное для маленьких принцесс. Удобное кроение, милый дизайн и качественные материалы делают его идеальным для праздников и повседневной носки.",2400,"Хлопок","Лето","Розовое","повседневный"
140,"Детский комбинезон","Удобный детский комбинезон из денима, разработанный для активных игр и прогулок на свежем воздухе. Практичный и стильный, он обеспечивает свободу движений и комфорт.",2600,"Деним","Всесезонные","Синий","повседневный"
141,"Детские кеды","Прочные детские кеды из кожи, созданные для активного образа жизни и повседневной носки. Обеспечивают удобную посадку, стильный внешний вид и долговечность при активных играх.",2100,"Кожа","Всесезонные","Белые","повседневный"
142,"Детский пуховик","Теплый детский пуховик из синтетики, предназначенный для защиты от низких температур в зимний период. Современный дизайн и качественный утеплитель обеспечивают комфорт и защиту.",4000,"Синтетика","Зима","Красный","повседневный"
143,"Детская юбка","Легкая детская юбка из хлопка, выполненная для создания яркого и жизнерадостного образа в летний сезон. Удобный крой и стильный дизайн делают её любимой вещью для маленьких модниц.",1800,"Хлопок","Лето","Желтая","повседневный"
144,"Мужской пуловер","Классический мужской пуловер из шерсти с V-образным вырезом, созданный для холодной погоды. Теплый, уютный и строгий дизайн идеально подходит для делового стиля в зимний период.",3300,"Шерсть","Зима","Серый","повседневный"
145,"Мужская жилетка спортивная","Легкая спортивная мужская жилетка из полиэстера, разработанная для активного отдыха и тренировок. Обеспечивает дополнительное тепло и удобство, оставаясь стильным элементом гардероба.",2200,"Полиэстер","Всесезонные","Черная","спортивный"
146,"Спортивные лосины женские","Эластичные спортивные лосины для женщин из синтетики, созданные для занятий фитнесом и йогой. Идеальная посадка, свобода движений и современный дизайн обеспечивают комфорт во время тренировок.",1700,"Синтетика","Всесезонные","Черные","спортивный"
147,"Рубашка-поло мужская","Классическая мужская рубашка-поло из хлопка, разработанная для создания повседневного и спортивного образа. Легкая ткань и аккуратный крой делают её идеальной для теплых дней.",2400,"Хлопок","Лето","Синяя","повседневный, спортивный"
148,"Рубашка свободного кроя женская","Легкая женская рубашка свободного кроя из хлопка, созданная для офисного и повседневного стиля. Непринужденный силуэт и натуральный материал обеспечивают комфорт и стиль в любое время дня.",2600,"Хлопок","Всесезонные","Белая","повседневный"
149,"Джинсы бойфренды женские","Модные женские джинсы бойфренды свободного кроя из денима, подчеркивающие фигуру и создающие стильный повседневный образ. Идеально сочетаются с разнообразными топами и аксессуарами.",3500,"Деним","Всесезонные","Темно-синие","повседневный"
150,"Куртка пуховая женская","Теплая женская пуховая куртка из полиэстера с натуральным пуховым наполнителем, созданная для суровых зимних условий. Обеспечивает надежную защиту от холода, стильный внешний вид и комфорт в самые низкие температуры.",11000,"Полиэстер","Зима","Темно-синяя","повседневный"
